Nombre,Descripcion,Vendedor,Imagenes
Dije con Calado Artesanal Modelo Vitruvio,"Dije realizado con una moneda reciclada con la técnica de calado a mano. Las técnicas que se utilizan para realizar nuestros productos son : wire wraping, calado, soldaduras de plata , trenzados varios . Utilizamos materiales como minerales , alambres y chapas de alpaca , cobre, bronce y plata . También se utiliza el reciclado de monedas varias",Eduardo,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260618-WA0012-Eduardo.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260508-WA0012-Eduardo.jpg
Dije con Alpaca,"Dije de crisocola y alpaca realizado en técnica wire wraping medidas aprox.5cm alto , 2cm ancho , 0,5 cm de espesor.",Eduardo,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260618-WA0008-Eduardo.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260618-WA0006-Eduardo.jpg
Pulsera Artesanal con Piedras Naturales,"Pulseras tipo esclava, realizada con metales de alpaca , cobre y minerales (Lapislázuli , ojo de tigre, jaspes ,etc.)",Eduardo,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260618-WA0004-Eduardo.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260618-WA0005-Eduardo.jpg
Amigurumis,"Realizado en acrílico hipoalergénico de 35 cm apto para menores de 3 años ya que no posee ojos de seguridad que representen peligro, de gran suavidad y lavable",CARINA CAMARGO,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.23.15-CARINA-CAMARGO-scaled.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-10-at-18.39.49-CARINA-CAMARGO.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.12.28-CARINA-CAMARGO.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.14.34-CARINA-CAMARGO.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.22.04-CARINA-CAMARGO.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.25.32-CARINA-CAMARGO.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.30.52-CARINA-CAMARGO-1.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.30.52-1-CARINA-CAMARGO-1.jpeg
Sweater,"Realizado en hilado acrílico y lana, lo que le aporta suavidad para usar en contacto con la piel, se combinan técnicas de crochet(granny) y dos agujas logrando un diseño único, Talle M. Trama exquisita!",CARINA CAMARGO,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.04.07-CARINA-CAMARGO.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-17.07.02-CARINA-CAMARGO.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-17.07.43-CARINA-CAMARGO.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.04.08-CARINA-CAMARGO.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.04.53-CARINA-CAMARGO.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.18.11-CARINA-CAMARGO.jpeg
Llaveros a Crochet,"Realizado en hilado acrílico, de 10 cm aprox, para el pie de la copa como el relleno se utilizó material reutilizado( arandelas metálicas y alambres en recortes). Son representativos de la fiesta de nuestro pueblo que lleva el mismo nombre y que se realiza en marzo en San Carlos.",CARINA CAMARGO,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-17.15.53-CARINA-CAMARGO.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.27.23-CARINA-CAMARGO.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.27.23-1-CARINA-CAMARGO.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.27.23-2-CARINA-CAMARGO.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.30.52-CARINA-CAMARGO.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-17-at-18.30.52-1-CARINA-CAMARGO.jpeg
Mantas Tejidas,"Mantas tejidas al Telar María, en tres tipologías: tonos calidos, multicolor y tonos oscuros. Materiales: Mix de lana, polyester y acrilico. 180cm x 90 cm aproximadamente. Predomina tafetán, faz de trama.",Maria Forcada,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/MANTA1-Maria-Forcada-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/MANTA-2-Maria-Forcada.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/MANTA1-Maria-Forcada.jpg
Individuales Tejidos a Crochet,Platos de sitio/posafuente/centro de mesa tejido al crochet con yute bitono (yute/algodón). Medida aproximada: 35 cm diámetro Se puede adquirir solo o juego de 6 más posafuente rectangular.,Olga Cristina Bianchi,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20251208_132554-Olga-Cristina-Bianchi.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20251206_092839-Olga-Cristina-Bianchi.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20251206_093233-Olga-Cristina-Bianchi.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20251208_132405-Olga-Cristina-Bianchi-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20251208_132431-Olga-Cristina-Bianchi-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20251208_132515-Olga-Cristina-Bianchi.jpg
Cesto Circular,"✨ Cesto Circular con tapa calada ✨ 15 cm de diámetro, tejido al crochet en cordón de polipropileno con base y tapa con delicados arabescos en fibrofácil. Ideal para guardar bijouterie, cosméticos, llaves, golosinas o cualquier tesoro pequeño. Un toque artesanal que organiza y decora a la vez. 🤍 🔴 Consultar colores disponibles",Olga Cristina Bianchi,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20250918_204449-Olga-Cristina-Bianchi-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20250918_204402-Olga-Cristina-Bianchi-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20250918_204424-Olga-Cristina-Bianchi-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20250918_204440-Olga-Cristina-Bianchi-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20250918_204519-Olga-Cristina-Bianchi-scaled.jpg
"Bolso Matero Modelo ""Pampa""","Bolso matero modelo Pampa Tejido a mano al crochet, en totora con combinación de colores. Base firme en fibrofácil cubierta con ecocuero en ambos lados. Correa de 4cm de ancho, regulable para llevar al hombro o cruzado. En el interior contiene tira para sostener el termo. Firme, práctico y con buen espacio para termo, mate y accesorios. Ideal para termo de hasta 1.4lt. 📏 Medidas aprox: 25 x 15 x 30 cm 🔴 Color: consultar disponibilidad ✨ Diseño artesanal exclusivo de Kallma.",Olga Cristina Bianchi,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20250801_114953-Olga-Cristina-Bianchi-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20250801_114336-Olga-Cristina-Bianchi-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20250801_114435-Olga-Cristina-Bianchi-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20250801_115149-Olga-Cristina-Bianchi-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20250801_115231-Olga-Cristina-Bianchi-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20260522_115754-Olga-Cristina-Bianchi-scaled.jpg
Mates Personalizados,"Mates de algarrobo o de acero grabados láser personalizado con escudos, logos empresariales o fotos",Karen Yanina Peres,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260614-WA0022-Karen-Yanina-Peres-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260614-WA0019-Karen-Yanina-Peres-1-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260614-WA0019-Karen-Yanina-Peres-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260614-WA0020-Karen-Yanina-Peres-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260614-WA0021-Karen-Yanina-Peres-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260614-WA0023-Karen-Yanina-Peres-scaled.jpg
Amigurumis,"El no podia faltar en este universo tejeril. Con la copa que nos trajo entre manos, sus casi 24cm de altura son todo lo que necesitamos tener para alentar a la Scaloneta. Está tejido en hilo de algodón hipoalergenico y utilizo ojitos de seguridad con traba interna que lo hacen súper seguro.",Julieta Mamani,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/Polish_20230827_223135178-Julieta-Mamani-scaled.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20250829-WA0025-Julieta-Mamani.jpeg
Velas de Cera de Soja,"Velas de cera de soja aromatizadas con distintos aromas que ofrecemos por ej. frutos rojos, naranja-pimienta, coco-vainilla etc",delfina giorlando,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-01-at-18.03.07-delfina-giorlando.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-01-at-18.02.05-6-delfina-giorlando.jpeg
Florero de David,"David de aprox 20 cm de alto hecho de yeso y pintado a mano con acrilico Combo de florero aprox 15 cm de alto, base y vela de cera de soja aromatizada de distintos aromas",delfina giorlando,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-01-at-18.02.05-5-delfina-giorlando.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-01-at-18.02.05-delfina-giorlando.jpeg
Venus,"Figura de Venus aproximadamente de 35 cm de alto, fabricada con yeso y pintada a mano con acrilico",delfina giorlando,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-01-at-18.03.07-1-delfina-giorlando.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-06-01-at-18.02.05-1-delfina-giorlando.jpeg
Fabricación y Mantenimiento de Portones Metálicos y Rejas,Armado de estructuras Metálicas: Pintura de propiedades interiores exteriores. Puertas ventanales y armado de barras para dominadas de gimnasio,GABRIEL,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/FB_IMG_1775251547886-GABRIEL.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260225-WA0001-GABRIEL.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260303-WA0004-GABRIEL.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260605-WA0003-GABRIEL.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20260605-WA0007-GABRIEL.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/Screenshot_20260330-143946_Google-GABRIEL.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/Screenshot_20260330-144128_Google-GABRIEL.jpg
Accesorios a Crochet,"Accesorios para el pelo , pañuelos , gorritos de hilo y accesorios para carteras",Pamela Nabarro,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/17809310766485470627392954576610-Pamela-Nabarro-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/17809312359215328885891671911905-Pamela-Nabarro-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/1780931364842114552316696053504-Pamela-Nabarro-scaled.jpg
Jabones Artesanales,"Se usan insumos naturales , que humectan la piel , como aceites de coco , risa mosqueta … Dejando la piel hidratada y suave al tacto . Además la glicerina sólida es el principal componente , sus medidas aproximadas son de 6 cm y un peso de 60 g , cada jabón 🧼",Pamela Nabarro,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/17809294432767524241548625064888-Pamela-Nabarro-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/17809296734946286776705372611282-Pamela-Nabarro-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/17809297477001300275147319214201-Pamela-Nabarro-scaled.jpg
Cofia,Tamaño estándar. ajustable.,Analia Flores,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-04-07-at-12.34.23-PM-1-Analia-Flores.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-04-07-at-12.34.23-PM-2-Analia-Flores.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-04-07-at-12.34.23-PM-3-Analia-Flores-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/WhatsApp-Image-2026-04-07-at-12.34.23-PM-3-Analia-Flores.jpg
Delantal de Jean Personalizado,"Material reciclado de tela de jeans, ajustable con costura reforzada",Analia Flores,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20251002_153602-Analia-Flores.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20251002_152558-Analia-Flores.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20251002_205429-Analia-Flores.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20251002_205734-Analia-Flores.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20251002_211558-Analia-Flores.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG_20251009_224228-1-Analia-Flores.jpg
Ropa para Muñecas,Vestidos de gala. Vestidos de novia. Vestidos cortos. Conjuntos de jeans y remera. Camperas de abrigo. Todo fabricado en tela y personalizado. Muchos modelos y colores disponibles.,Daiana Lucero,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20241222-WA0125-Daiana-Lucero.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20241222-WA0119-Daiana-Lucero.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20250105-WA0099-Daiana-Lucero.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20250114-WA0249-Daiana-Lucero.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20250131-WA0023-Daiana-Lucero.jpg
Juego de Comedor y Cocina para Muñecas,"Mesa con 4 sillas fabricada en mdf. Comiditas fabricadas en porcelana en frio, pintadas a mano. Heladera con estantes y cocina fabricadas en mdf.",Daiana Lucero,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20250128-WA0255-Daiana-Lucero.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20250815-WA0097-Daiana-Lucero.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20250815-WA0098-Daiana-Lucero.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20250815-WA0105-Daiana-Lucero.jpg
Juego de Dormitorio para Muñecas,"Placard de fabricado en mdf, pintado a mano. Viene con perchitas para colgar. Cama fabricada en mdf con colchón, juego de sábanas, almohada y mesita de luz",Daiana Lucero,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20250128-WA0252-Daiana-Lucero.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/IMG-20250815-WA0100-Daiana-Lucero.jpg
Posavasos de Diseño,"Juego de posavasos artesanales elaborados en madera de pino seleccionada, diseñado para proteger superficies y aportar calidez natural a la mesa, el escritorio o cualquier espacio del hogar. Su estética simple y atemporal combina funcionalidad con el encanto de los materiales nobles, convirtiéndolo en un detalle decorativo ideal para el uso diario. Cada pieza es fabricada mediante técnicas de carpintería artesanal, respetando las características propias de la madera y cuidando cada etapa del proceso de elaboración. La terminación se realiza con aceite de lino prensado en frío, que protege la superficie, realza las vetas naturales y resalta la belleza única de cada pieza. Características: • Material: Madera de pino seleccionada. • Terminación: Tratamiento protector con aceite de lino. • Técnica: Carpintería artesanal. • Medidas: 9 cm de largo x 9 cm de ancho x 1 cm de espesor. • Peso aproximado: 40 gramos por unidad. • Origen: Hecho a mano en Mendoza, Argentina. Debido a la naturaleza propia de la madera, cada posavasos presenta vetas, tonalidades y detalles únicos que lo distinguen de cualquier otro. Una pieza funcional y decorativa que combina diseño, artesanía y materiales naturales para acompañar momentos cotidianos.",Pablo Vega,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20260526_184846-Pablo-Vega-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20260526_184628-Pablo-Vega-scaled.jpg
Soporte para Celular,"Soporte artesanal para celular elaborado en madera de pino seleccionada, diseñado para brindar comodidad, organización y un toque natural a cualquier espacio. Su diseño funcional permite mantener el dispositivo en una posición estable y de fácil visualización, ideal para videollamadas, trabajo, estudio o uso cotidiano. Cada pieza es fabricada mediante técnicas de carpintería artesanal, cuidando cada detalle del proceso de elaboración. La madera recibe una terminación protectora a base de aceite de lino prensado en frío, que resalta su belleza natural, protege la superficie y aporta una terminación cálida y elegante. Características: • Material: Madera de pino seleccionada. • Terminación: Tratamiento protector con aceite de lino. • Técnica: Carpintería artesanal. • Medidas: 21 cm de alto x 9 cm de ancho x 1 cm de espesor. • Peso aproximado: 130 gramos. • Origen: Hecho a mano en Mendoza, Argentina. Cada soporte es una pieza única, ya que las vetas, tonalidades y particularidades propias de la madera natural hacen que no existan dos iguales. Una combinación de diseño, funcionalidad y trabajo artesanal pensada para acompañar la vida diaria.",Pablo Vega,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20260526_182114-Pablo-Vega-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20260526_181743-Pablo-Vega-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/06/20260526_182353-Pablo-Vega-scaled.jpg
